text,label
Where did the 6th annual meeting of Indonesia-Malaysia forest experts take place ?,4
Which ear can most people hear better with ?,1
What Cherokee Indian gave his name to a tree ?,3
What is the world record for the longest hair ?,5
For what disease is the drug Sinemet used as a treatment ?,1
What is DSL ?,0
How do they find or choose witnesses to an execution ?,2
What is a fear of weakness ?,1
What is the fastest commercial automobile that can be bought in the US ?,1
What U.S. city 's skyline boasts the Gateway Arch ?,4
How many people hike ?,5
Name the U.S. Senate majority leader and the Speaker of the House .,3
What does S.O.S. stand for ?,0
What does the channel ESPN stand for ?,0
How many times a day does the typical person go to the bathroom ?,5
Which large U.S. city had the highest murder rate for 1988 ?,4
What is the richest state in the U.S. ?,4
What do insects do through their spiracles ?,2
Which Doonesbury character was likely to turn into a werewolf ?,3
What do bicornate animals have two of ?,1
How is thalassemia defined ?,2
What Pulitzer Prize-winning novelist ran for mayor of New York City ?,3
"Which mosquito 's bite draws blood , DT NN CC DT NN .",1
What is the abbreviation of the National Bureau of Investigation ?,0
"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?",4
What is the abbreviated expression for the National Bureau of Investigation ?,0
What city is sometimes called Gotham ?,4
How many emperors were there in the Roman Empire ?,5
What does the word terrorism mean ?,2
What are the top five oil-producing countries in the world ?,4
What is tyvek ?,2
What company was the original sponsor of TV 's Superman ?,3
In what year was the movie the Ten Commandments released ?,5
Where did the term `` 86ed '' come from ?,2
Who was Jane Goodall ?,3
Who was Jinnah ?,3
What is the chemical symbol for nitrogen ?,1
What does IQ stand for ?,0
What is RAM in the computer ?,0
What is the size of Argentina ?,5
What does G.M.T. stand for ?,0
What state on the Gulf of Mexico has its lowest point five feet below sea level ?,4
"Who was the first elected mayor of Washington , D.C. ?",3
What is recruitment interview technique ?,2
How much will the California be in the year 2000 ?,5
What radio station did Paul Harvey work for ?,3
What ocean surrounds the Madeira Islands ?,4
What was the name of the U.S. Navy gunboat in the film The Sand Pebbles ?,1
What is Spumante ?,2
What is the S&P 500 used for ?,2
What does the abbreviation AIDS stand for ?,0
When was John D. Rockefeller born ?,5
What is Head Start ?,2
What century 's the setting for TV 's The Adventures of Robin Hood ?,5
What 's the term for an organism that lives on or in another ?,1
What Caribbean island is sometimes called Little England ?,4
What is the name of the second space shuttle ?,1
What does BUD stand for ?,0
"Who was in Death of a Salesman original movie , not 1985 ?",3
How many Beatles ' records went #1 ?,5
What object is known as Parrots Beak?,1
What thing is called Black Virgin in a war context?,1
What entity is associated with battles at Parrots Beak and Black Virgin?,1
What object does the method called cold fusion create?,1
What thing is produced by the method called cold fusion?,1
What entity is the result of the method called cold fusion?,1
What percentage of the body is made up of muscle?,5
How much of the body is muscle tissue?,5
What percentage of our body is comprised of muscle?,5
What is a wart?,2
What does a wart mean?,2
How to describe a wart?,2
How many colleges are in Wyoming?,5
How many colleges are in the state of Wyoming?,5
How many colleges exist in Wyoming?,5
What is psoriasis and how does it disappear?,2
How does psoriasis disappear and what causes it?,2
What is the description of psoriasis disappearance?,2
Who is the creator of the monster in Frankenstein?,3
Which person created the monster in Mary Shelleys novel?,3
Who wrote the character of the monster in Frankenstein?,3
What Sioux language?,1
What is a Sioux language?,1
What object is Sioux language?,1
Who was Marshal Philippe Pétain?,3
Which person led Vichy France during World War II?,3
Who was the head of the Vichy government?,3
Who wrote Sexual Politics and Flying?,3
Which author wrote Sexual Politics and Flying?,3
Who is the author of Sexual Politics and Flying?,3
What does ABBR EENTY stand for in classified ads?,0
What does EENTY stand for in abbreviations like other?,0
What does ABBR other stand for in classified ads?,0
When did the first transcontinental railroad finish?,5
How many years did it take to complete the first transcontinental railroad?,5
When was the west coast reached by the first railroad from the east coast?,5
Which U.S. state has the most blondes?,4
Where can I find the state with the most blonde population?,4
Which place in the U.S. has the highest percentage of blondes?,4
"How many people live in Biloxi, Mississippi?",5
"Whats the population of Biloxi, MS?",5
"How many residents are there in Biloxi, Mississippi?",5
How many disks are used in a four-handed game of Crokinole?,5
How many disks are played in a typical game of four-player Crokinole?,5
How many disks does each player have in a standard Crokinole game?,5
How many slices of pizza do Americans eat daily?,5
What is the daily pizza consumption of Americans?,5
How much pizza does the average American eat in a day?,5
What film has won the Golden Bear at the Berlin Film Festival?,1
What is the film that won the Golden Bear in Berlin?,1
What object is the Golden Bear awarded to in the Berlin Film Festival?,1
Where do most baseball pitchers typically throw the ball?,4
Which direction do most professional baseball pitchers pitch towards?,4
Where do baseball pitchers usually aim when throwing the ball?,4
What does the 12 days of Christmas mean?,2
What is the 12 days of Christmas all about?,2
How do you describe the 12 days of Christmas tradition?,2
Where does most of the illegal drugs enter the US?,4
Which places are known for producing most of the US marijuana?,4
Where do most of the marijuana smuggled into the US come from?,4
When did Franklin D. Roosevelt get sick with polio?,5
How many years ago did FDR get polio?,5
What year did FDR contract polio?,5
How much gas tax was in California in the year 2000?,5
How much will gas be taxed in California by 2000?,5
How much gas tax was charged in California in the year 2000?,5
Where are the 10 largest cities in the US located?,4
Which places in the US are the 10 largest cities?,4
Where can I find the 10 largest cities in the United States?,4
"What is common among Hank Aaron, Jimmy Stewart, and Howard K. Smith?",2
"How is Hank Aaron, Jimmy Stewart, and Howard K. Smith related?",2
"What do Hank Aaron, Jimmy Stewart, and Howard K. Smith share in common?",2
What is the first Funk N Lata success?,2
How to describe the first Funk N Lata success?,2
What is Funk N Latas first success all about?,2
What does Tiffany mean in English?,2
What is the definition of Tiffany?,2
What does the name Tiffany describe?,2
What is the busiest time of year for air travel?,5
When is air travel at its peak?,5
How many people travel by air during holidays?,5
What does the name Billie mean?,2
What is the definition of the name Billie?,2
How would you describe the name Billie?,2
How many languages can the Pope speak?,5
How many languages does the Pope know?,5
How many languages does the Pope speak fluently?,5
Where is the gulf between Sweden and Finland?,4
Which place is the gulf between Sweden and Finland?,4
Where is the boundary between Sweden and Finland?,4
Which place is considered the most historically significant in the world?,4
Where is the most important nation in the worlds history located?,4
Which location has the most significant historical impact in the world?,4
Who is the star of the cooking show Galloping Gourmet?,3
Which person hosts the cooking show Galloping Gourmet?,3
Who is the host of the TV show Galloping Gourmet?,3
How many team members worked on the Manhatten Project?,5
What is the average age of the Manhatten Project team members?,5
How much did the Manhatten Project cost in total?,5
What new games are available for Nintendo 64 console?,1
What Nintendo 64 games have been released recently?,1
What are some popular games for the Nintendo 64 console?,1
What is the process of becoming a dentist?,2
How do you define becoming a dentist?,2
What does it take to become a dentist?,2
Who holds the record for most major league home runs?,3
Who is the home run champion in major league baseball?,3
Who has hit the most home runs in the major leagues?,3
Where is the second-highest peak in the continent of Europe?,4
Which place is the second-highest peak on the continent of Europe?,4
Where can I find the second-highest peak on the European continent?,4
Who was the astronaut left on the spacecraft during the moon landing?,3
Which astronaut stayed behind on the Apollo 11 spacecraft?,3
Who was the astronaut not part of the moonwalk mission?,3
What is an animals tail called a brush?,1
What object is an animals tail also known as a brush?,1
What thing is an animals tail often referred to as a brush?,1
Who is the head of state in Brunei?,3
Who leads the government of Brunei?,3
Who is the ruler of Brunei?,3
Where is the Kentucky Horse Park located?,4
Which city is the Kentucky Horse Park near?,4
Whereabouts is the Kentucky Horse Park situated?,4
Who is the U.S. President who imported his own instructor?,3
Which U.S. President saw a judo match and imported his instructor?,3
Who is the U.S. President that brought his own judo instructor after a match?,3
Who is the model with nickname Leslie Hornby?,3
Which person has the nickname Leslie Hornby?,3
Who is known as Leslie Hornby?,3
What thing does the technique called cold fusion produce?,1
What object is created through the technique of cold fusion?,1
What is the result of the cold fusion process?,1
What is the origin of the term buffalo wings?,2
What does buffalo wings mean in the context of a menu item?,2
How did the term buffalo wings come to describe chicken wings in spicy sauce?,2
Where is the city in China with the most foreign financial companies?,4
Which place in China has the highest number of foreign financial companies?,4
Where can I find the city in China with the largest number of foreign financial companies?,4
How many Mhz is a 45 processor?,5
How much is 45Mhz processor speed?,5
What is the frequency of a 45Mhz processor?,5
Who is William Wordsworth?,3
Which person is William Wordsworth?,3
Who wrote William Wordsworth?,3
Where is Logan Airport located?,4
Which city has Logan Airport?,4
Where is the location of Logan Airport?,4
Who did Sonny Liston succeed as heavyweight champion?,3
Who was the world heavyweight champion after Sonny Liston?,3
Who did Sonny Liston replace as world heavyweight champion?,3
What object is known as the first victim of Muhammad Alis maneuver?,1
What thing did Muhammad Alis maneuver first defeat?,1
What entity was the target of Muhammad Alis famous maneuver?,1
How many seconds was the longest sneezing attack?,5
Whats the duration of the longest recorded sneezing attack?,5
How long did the longest sneezing fit last?,5
Who was the artist whose studio was the Bateau-Lavoir in Montmartre?,3
Which artist had their studio at the Bateau-Lavoir in Montmartre?,3
Who was the artist associated with the Bateau-Lavoir studio in Montmartre?,3
Which department store claims to be the worlds largest?,3
Who is the largest department store in the world?,3
Which person or organization claims to run the worlds largest department store?,3
Who are the attorneys for The Center for the Defense of Free Enterprise?,3
Which lawyers work for The Center for the Defense of Free Enterprise?,3
Who does The Center for the Defense of Free Enterprise employ as attorneys?,3
Which country has the highest per capita cheese consumption?,4
Where is the highest per capita cheese consumption found?,4
What is the country with the highest cheese consumption per person?,4
Who is Scrooges dead partner in A Christmas Carol?,3
Which person was Scrooges dead partner in A Christmas Carol?,3
Who did Scrooge lose as his business partner in A Christmas Carol?,3
What is an executor in a will?,2
How is an executor defined in a will?,2
What does executor mean in the context of a will?,2
What instrument does Ray Charles play?,1
What object does Ray Charles use to make music?,1
What thing is played by Ray Charles?,1
Where is Bolivia located?,4
Which continent is Bolivia situated on?,4
What continent does Bolivia belong to?,4
Who is said to haunt the White House?,3
Which presidents ghost is said to haunt the White House?,3
Who is the ghost said to haunt the White House?,3
What is the description of income tax paid on Social Security income?,2
How does income tax work on Social Security income in the US?,2
What is the explanation for taxing Social Security income on my tax return?,2
What is a telephone?,2
How does a telephone work?,2
What is the explanation for how telephones function?,2
How much calcium does an adult female need daily?,5
How much calcium should I consume as a female adult?,5
How much calcium is recommended for an average adult female?,5
Whats the term for an object that lives on or in another object?,1
What is the thing that lives on or in another thing?,1
Whats the entity that exists on or within another entity?,1
What thing is caliente in English?,1
What object translates to caliente in English?,1
What thing does caliente stand for in English?,1
What kind of thing is a snail?,1
What is a snail an example of?,1
What object is a snail?,1
What is the description of making dumplings?,2
How to make dumplings in a simple way?,2
What is the process of making dumplings?,2
Who is the U.S. senator who played basketball for the New York Knicks?,3
Which person is a U.S. senator and a former New York Knicks player?,3
Who played basketball for the New York Knicks before becoming a U.S. senator?,3
What is the monster in Spielbergs film Jaws?,1
What entity is the main antagonist in Spielbergs Jaws?,1
What thing is the terrorizing force in the movie Jaws?,1
Where did the name Daniel originate from?,4
Which place is the name Daniel associated with?,4
Where is the origin of the name Daniel located?,4
Who is the American swimmer who won seven gold medals in 1972?,3
Which person won seven gold medals for the US in the 1972 Olympics?,3
Who is the swimmer who won seven Olympic gold medals in 1972?,3
Who is the golfer known as Ohio Fats and Blobbo?,3
Which person is nicknamed Ohio Fats and Blobbo in golf?,3
Who is this golfer called Ohio Fats and Blobbo?,3
What is perfect tense?,2
How to use perfect tenses in sentences?,2
What does perfect tense mean in grammar?,2
What potato blight caused the Irish Famine?,1
What object caused the Irish Famine?,1
What thing led to the Irish Famine?,1
Who was involved in the largest cocaine seizure in Ventura County history?,3
Which person made the biggest cocaine bust in Ventura County history?,3
Who is responsible for the largest cocaine seizure in Ventura County history?,3
What thing was invented in 1916 at the George Jung noodle factory in Los Angeles?,1
What object was created in 1916 at the George Jung noodle factory in Los Angeles?,1
What entity was invented in 1916 at the George Jung noodle factory in Los Angeles?,1
Who is not wise enough to keep a promise?,3
Which person would break a vow for a paradise?,3
Who would lose an oath for a paradise?,3
Who is the French literary character with a big nose?,3
Who is the famous French character known for his large nose?,3
Which famous French person is known for his oversized nose?,3
Where is the southernmost point in continental Europe?,4
Which country has the southernmost point in continental Europe?,4
Where can I find the southernmost point in continental Europe?,4
